H2          O                       OH          H                                   3.14E-13     2.70   3150.0  297. 3532.  5 A NN
H2          F                       HF          H                                   1.00E-10     0.00    400.0  160.  765.  5 A NN
H2+         H2                      H3+         H                                   2.08E-09     0.00      0.0   10.41000.  5 A IN
H2          He+                     He          H+          H                       3.70E-14     0.00     35.0   10.  300.  5 C IN
H2          HeH+                    He          H3+                                 1.50E-09     0.00      0.0   10.41000.  5 A IN
H2          CH+                     CH2+        H                                   1.20E-09     0.00      0.0   10.41000.  5 A IN
H2          N+                      NH+         H                                   1.00E-09     0.00     85.0   10.  300.  5 C IN
H2          CH2+                    CH3+        H                                   1.60E-09     0.00      0.0   10.41000.  5 A IN
H2          NH+                     N           H3+                                 2.25E-10     0.00      0.0   10.41000.  5 A IN
H2          NH+                     NH2+        H                                   1.28E-09     0.00      0.0   10.41000.  5 A IN
H2          O+                      OH+         H                                   1.70E-09     0.00      0.0   10.41000.  5 A IN
H2          O-                      OH-         H                                   3.00E-11     0.00      0.0   10.41000.  5 C IN
H2          NH2+                    NH3+        H                                   2.70E-10     0.00      0.0   10.41000.  5 A IN
H2          CH4+                    CH5+        H                                   3.40E-11    -1.35     23.0   15.  300.  5 A IN
H2          OH+                     H2O+        H                                   1.01E-09     0.00      0.0   10.41000.  5 A IN
H2          NH3+                    NH4+        H                                   3.36E-14     0.00    -35.7   10.   20.  5 B IN
H2          H2O+                    H3O+        H                                   6.40E-10     0.00      0.0   10.41000.  5 A IN
H2          F+                      HF+         H                                   3.80E-10     0.00      0.0   10.41000.  5 A IN
H2          F+                      H2+         F                                   6.24E-10     0.00      0.0   10.41000.  5 A IN
H2          HF+                     H2F+        H                                   1.30E-09     0.00      0.0   10.41000.  5 A IN
H2          C2+                     C2H+        H                                   1.10E-09     0.00      0.0   10.41000.  5 A IN
H2          C2H+                    C2H2+       H                                   1.10E-09     0.00      0.0   10.41000.  5 A IN
H2          CN+                     HCN+        H                                   1.00E-09     0.00      0.0   10.41000.  5 A IN
H2          C2H2+                   C2H3+       H                                   1.00E-11     0.00      0.0   10.41000.  5 A IN
H2          HCN+                    HCNH+       H                                   9.00E-10     0.00      0.0   10.41000.  5 A IN
